Id,SalePrice
2,137822.5011581357
4,246364.9395812429
6,200714.49037406853
7,223414.84021900943
17,245866.29137706204
18,332468.08656609873
22,204678.18005179634
27,116552.53061253714
31,108732.86061981431
36,136490.45498581298
39,335879.06416750164
40,246866.2850367835
42,287989.3418529696
46,220352.45748759445
53,163927.59219122148
58,172277.15386824985
61,295195.82500339067
72,235429.9495597805
79,135943.7334614374
80,214588.14252185082
82,168711.37661396162
83,107741.95029824073
85,159803.604152079
88,115630.27577573308
92,326007.55497531645
93,300565.647689654
95,203822.73931803182
102,224920.8439899502
103,193682.87574298718
106,254640.45227176053
107,181943.95962326525
110,230984.44827485515
114,205796.69744959497
116,204651.37943962033
117,164800.28458037082
118,149212.71969883516
125,160095.01416240845
126,173670.08234459933
127,162652.3095390546
128,230161.2800042353
134,139214.59748265642
135,199218.01082263427
137,262067.8948191455
143,138809.96728374876
147,141209.3211253106
148,197033.04092248774
150,114882.14149244322
156,152536.15997714305
157,130467.23164763732
159,161105.0454940024
161,280068.20533826505
167,139992.39476990933
170,140090.9654491491
171,84508.58968590351
175,71423.48300777507
179,126781.14097214885
181,102206.63943861498
186,240179.39618550116
193,218176.6603884669
194,67217.15037366762
206,126838.40235570636
208,157309.06169196576
210,185839.89071774753
211,114056.80466135254
212,126220.55823386906
214,85281.54712832162
215,141968.4638963543
217,114798.90689325867
222,135893.69217398547
227,142695.7086617861
228,161640.781487537
233,263019.6672409183
235,141417.61030319816
238,126079.3220760977
241,147958.97014853594
252,184861.3397289347
253,182855.08156207492
256,156351.63991621477
257,147250.4190417321
258,192054.63562071844
259,195977.71388400428
261,153642.22108737554
263,112773.9338140875
266,234219.14577897504
267,221951.3574311909
270,154872.0367043037
271,263962.6618244291
276,100611.1035613049
285,149398.33041571785
288,42771.243912937265
289,131901.7646695607
290,103398.55482082754
291,120505.06889666029
292,103481.53203362129
293,202897.2664321522
294,245953.17484445695
295,199408.23841468568
304,145879.7144809156
322,284820.12613307365
326,141639.22525305592
327,73302.39842576353
328,121021.29117778012
331,59484.95724641149
332,48805.4451288393
333,73709.26176589202
335,149153.66555317704
